qc_id,tatortsomrade,info,lank,beteckning,utvecklingsomrade,omradesnummer,idnr,icon_url
"0",Björbo,,,T,Trafik,"1","1",./0.png
"1",Björbo,,,T,Trafik,"2","2",./0.png
"2",Björbo,,,T,Trafik,"4","3",./0.png
"3",Björbo,,,T,Trafik,"3","4",./0.png
"4",Björbo,,,T,Trafik,"5","5",./0.png
"5",Dala-Floda,,,T,Trafik,"3","6",./0.png
"6",Dala-Floda,,,T,Trafik,"1","7",./0.png
"7",Dala-Floda,,,T,Trafik,"2","8",./0.png
"8",Mockfjärd,,,T,Trafik,"7","9",./0.png
"9",Mockfjärd,,,T,Trafik,"1","10",./0.png
"10",Mockfjärd,,,T,Trafik,"6","11",./0.png
"11",Mockfjärd,,,T,Trafik,"2","12",./0.png
"12",Mockfjärd,,,T,Trafik,"3","13",./0.png
"13",Mockfjärd,,,T,Trafik,"4","14",./0.png
"14",Mockfjärd,,,T,Trafik,"8","15",./0.png
"15",Mockfjärd,,,T,Trafik,"5","16",./0.png
"16",Bäsna,,,T,Trafik,"2","17",./0.png
"17",Bäsna,,,T,Trafik,"1","18",./0.png
"18",Sifferbo,,,T,Trafik,"2","19",./0.png
"19",Sifferbo,,,T,Trafik,"3","20",./0.png
"20",Sifferbo,,,T,Trafik,"4","21",./0.png
"21",Sifferbo,,,T,Trafik,"6","22",./0.png
"22",Sifferbo,,,T,Trafik,"6","23",./0.png
"23",Djurås,,,T,Trafik,"8","24",./0.png
"24",Djurås,,,T,Trafik,"7","25",./0.png
"25",Djurås,,,T,Trafik,"1","26",./0.png
"26",Djurås,,,T,Trafik,"2","27",./0.png
"27",Djurås,,,T,Trafik,"4","28",./0.png
"28",Djurås,,,T,Trafik,"5","29",./0.png
"29",Djurås,,,T,Trafik,"6","30",./0.png
"30",Gagnef,,,T,Trafik,"2","31",./0.png
"31",Gagnef,,,T,Trafik,"1","32",./0.png
